text,severity
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Ghar mein blaze, elderly aadmi phansa hua",HIGH
"Car accident, aadmi behosh, khoon nikal raha",HIGH
"Khoon beh raha hai aadmi ka, turant ambulance chahiye",HIGH
"Aag lag gayi hai building mein, log chotil hain",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
"Bomb blast jaisa sound hua, bohot injuries hain",HIGH
